SRIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
"4620076.00 (SR), Montréal (RMR) (4620076.00) (00000)",3305,395,2475,430,1765,10,0,150,45,1200,365,0,0,1765,875,580,165,95,55,67500,3195,680,21.3,1780,605,1175,1780,460,250,190,145,105,105,265,255,500000,622000,830,1004
"4620077.00 (SR), Montréal (RMR) (4620077.00) (00000)",4025,585,2885,560,1990,5,0,175,0,665,1150,0,0,1995,925,625,225,135,85,74000,3870,805,20.8,2095,845,1250,2095,160,310,455,35,45,20,325,740,616000,698000,755,978
"4620078.00 (SR), Montréal (RMR) (4620078.00) (00000)",3955,485,2625,845,2110,0,0,310,85,1015,670,35,0,2110,1010,695,195,130,75,74000,3935,865,22,2115,860,1255,2115,330,350,715,305,185,105,65,65,624000,720000,970,1196
"4620079.00 (SR), Montréal (RMR) (4620079.00) (00000)",4580,545,3475,560,2560,15,10,210,45,2085,150,35,0,2560,1315,830,210,125,85,65000,4565,925,20.3,2575,825,1745,2575,795,445,280,220,245,255,225,105,500000,596000,890,1020
"4620080.00 (SR), Montréal (RMR) (4620080.00) (00000)",780,40,695,50,395,0,0,20,0,370,0,5,0,395,125,175,70,20,5,85000,780,95,12.6,385,95,295,385,290,60,15,10,0,0,0,0,500000,690000,1340,1410
"4620081.00 (SR), Montréal (RMR) (4620081.00) (00000)",3550,265,3030,250,2180,0,5,0,0,1520,650,0,0,2175,1240,695,150,55,30,67500,3500,595,17.1,2185,735,1450,2185,995,260,90,90,75,335,275,60,392000,448000,1020,1060
"4620082.00 (SR), Montréal (RMR) (4620082.00) (00000)",2185,295,1700,190,1125,0,0,0,5,810,305,0,0,1130,510,365,135,70,40,55600,2160,530,24.4,1110,175,935,1110,340,225,185,95,20,50,150,40,400000,444000,820,912
"4620083.00 (SR), Montréal (RMR) (4620083.00) (00000)",3405,445,2650,310,1835,5,10,95,90,1620,5,10,0,1835,850,635,185,115,45,67000,3390,590,17.4,1840,515,1325,1840,995,210,135,80,105,65,120,130,500000,598000,920,1104
"4620084.00 (SR), Montréal (RMR) (4620084.00) (00010)",2790,275,1725,790,1395,15,10,10,65,870,420,0,0,1395,735,435,130,50,45,54000,2455,600,24.4,1390,360,1025,1390,335,245,155,125,90,205,195,45,400000,454000,890,960
"4620085.00 (SR), Montréal (RMR) (4620085.00) (00000)",745,125,550,75,335,10,0,20,50,255,0,0,0,340,125,115,50,20,20,62400,730,140,18.4,340,90,245,340,170,35,30,0,35,30,10,15,412000,500000,840,950
"4620086.00 (SR), Montréal (RMR) (4620086.00) (00000)",3935,465,2740,730,2015,155,20,20,400,1400,25,5,0,2020,925,665,210,155,60,59600,3845,625,16.2,2025,740,1280,2025,1310,365,130,85,20,45,50,20,600000,621000,830,868
"4620087.00 (SR), Montréal (RMR) (4620087.00) (00000)",3220,525,2345,350,1575,0,5,5,320,990,245,5,0,1575,670,495,200,125,85,60400,3220,625,19.4,1570,525,1045,1570,680,375,165,70,30,180,55,20,436000,456000,755,812
"4620088.00 (SR), Montréal (RMR) (4620088.00) (00000)",3585,480,2385,720,1865,5,0,15,610,1025,185,20,0,1860,890,565,220,130,50,55600,3505,675,19.3,1860,460,1395,1860,1135,375,115,115,10,15,55,40,552000,564000,810,844
"4620089.00 (SR), Montréal (RMR) (4620089.00) (00000)",4915,665,3500,755,2405,85,20,20,845,1400,5,35,0,2410,995,795,315,205,95,62800,4890,765,15.6,2430,880,1550,2430,1570,545,110,75,35,70,15,15,600000,596000,800,834
"4620090.00 (SR), Montréal (RMR) (4620090.00) (00000)",4590,695,3145,750,2155,115,30,75,1045,815,65,10,0,2160,850,685,310,200,115,58000,4570,935,20.5,2140,740,1400,2140,1035,630,235,105,45,40,40,10,600000,574000,800,826
"4620092.00 (SR), Montréal (RMR) (4620092.00) (00000)",5980,800,3960,1230,2855,30,40,340,1685,635,100,5,20,2855,1195,900,400,240,120,58000,5820,1090,18.7,2850,1070,1780,2850,1520,680,395,150,30,20,25,35,600000,588000,800,840
"4620093.00 (SR), Montréal (RMR) (4620093.00) (00000)",3255,480,2325,450,1545,5,10,90,780,635,5,0,5,1545,645,485,210,130,75,60800,3165,530,16.7,1555,570,985,1555,870,335,130,95,30,10,50,20,448000,506000,840,848
"4620094.01 (SR), Montréal (RMR) (4620094.01) (00000)",6300,890,4630,785,3185,10,5,25,815,2235,100,5,0,3185,1505,905,385,255,135,49200,6245,1505,24.1,3210,610,2600,3210,1300,1020,230,165,55,220,95,115,500000,532000,800,865
"4620095.00 (SR), Montréal (RMR) (4620095.00) (00000)",2150,175,1710,260,1150,0,35,0,100,910,95,5,0,1150,595,360,110,70,20,57600,2015,400,20,1130,195,935,1130,660,185,55,65,35,45,70,15,600000,750000,1090,1148
"4620096.00 (SR), Montréal (RMR) (4620096.00) (00000)",2370,345,1745,280,1110,0,5,5,560,465,65,0,0,1110,410,350,195,110,45,72500,2365,350,15,1090,480,610,1090,840,110,10,20,0,55,45,15,500000,580000,1110,1192
"4620097.01 (SR), Montréal (RMR) (4620097.01) (00000)",6170,905,4485,785,3340,10,5,65,685,1270,1305,0,0,3340,1735,860,380,265,100,47600,6170,1615,26.2,3340,590,2750,3340,1425,1215,255,195,110,30,45,55,552000,588000,810,894
"4620097.02 (SR), Montréal (RMR) (4620097.02) (00000)",4135,445,2945,745,2105,5,0,5,315,570,1205,0,0,2100,1085,580,240,135,60,44800,3825,1225,32.1,2075,260,1815,2075,640,810,240,150,20,40,90,80,650000,632000,920,970
"4620098.00 (SR), Montréal (RMR) (4620098.00) (00000)",5470,960,3485,1030,2335,420,470,15,520,885,25,5,0,2335,810,670,355,350,160,78000,5455,745,13.7,2335,1285,1050,2335,1480,500,85,60,85,65,15,45,650000,665000,840,938
"4620099.00 (SR), Montréal (RMR) (4620099.00) (00000)",5740,945,3595,1205,2715,240,490,50,130,1035,780,0,0,2720,1150,750,360,335,120,63200,5740,1120,19.5,2745,1135,1610,2745,1330,440,180,255,135,320,30,55,750000,744000,850,908
"4620100.01 (SR), Montréal (RMR) (4620100.01) (00000)",4150,755,2785,610,1905,100,215,5,400,815,365,0,0,1905,755,525,285,260,85,61600,4140,775,18.7,1895,670,1225,1895,1075,550,90,75,60,15,10,15,700000,686000,920,986
"4620100.02 (SR), Montréal (RMR) (4620100.02) (00000)",3445,620,2335,490,1485,75,130,0,385,615,285,0,0,1485,505,430,240,210,95,64000,3445,590,17.2,1485,505,980,1485,775,465,100,60,50,20,0,15,650000,624000,920,972
"4620101.01 (SR), Montréal (RMR) (4620101.01) (00000)",4085,680,2510,890,1885,40,95,0,410,620,720,0,0,1885,780,525,265,195,120,54400,4080,915,22.5,1885,645,1245,1885,865,545,310,70,25,15,20,45,552000,597000,860,920
"4620101.02 (SR), Montréal (RMR) (4620101.02) (00000)",3730,640,2465,625,1575,10,85,0,410,1060,0,5,0,1580,575,435,285,175,110,52800,3590,850,23.6,1590,365,1220,1590,820,495,105,85,45,25,15,15,695000,668000,820,884
"4620102.00 (SR), Montréal (RMR) (4620102.00) (00000)",4255,700,2745,810,2040,150,185,15,705,780,205,5,0,2045,830,605,310,245,55,82000,4250,560,13.2,2020,905,1120,2020,1380,355,110,80,25,10,35,15,750000,796000,1030,1226
"4620103.00 (SR), Montréal (RMR) (4620103.00) (00000)",2325,370,1495,455,1070,50,360,125,0,535,0,0,0,1065,415,330,125,140,60,92000,2325,225,9.6,1090,615,475,1090,805,150,30,60,25,0,25,0,1000000,1040000,870,1004
"4620104.00 (SR), Montréal (RMR) (4620104.00) (00000)",2820,500,1775,545,1125,95,415,110,170,245,95,0,0,1125,325,320,175,220,85,135000,2810,270,9.7,1110,705,405,1110,890,125,60,25,0,0,10,0,1100000,1158000,1010,1156
"4620105.00 (SR), Montréal (RMR) (4620105.00) (00000)",3425,615,2200,610,1560,5,20,5,960,450,115,5,5,1565,535,510,275,195,55,93000,3425,365,10.6,1575,780,795,1575,1265,190,30,70,15,0,0,0,650000,724000,1110,1320
"4620106.00 (SR), Montréal (RMR) (4620106.00) (00000)",2110,275,1350,480,910,25,35,0,330,230,285,0,0,910,350,295,140,90,30,78500,1890,265,14.2,900,320,580,900,555,225,35,30,15,30,0,10,755000,790000,1000,1184
"4620107.00 (SR), Montréal (RMR) (4620107.00) (00000)",1535,195,1175,170,830,5,5,10,25,500,275,10,0,825,445,210,95,65,15,57600,1475,300,20.2,860,220,645,860,375,255,105,70,20,20,0,10,576000,612000,900,1050
"4620108.00 (SR), Montréal (RMR) (4620108.00) (00000)",3950,545,2450,955,1635,40,430,145,125,635,260,0,0,1640,565,535,220,235,80,95000,3665,400,11,1635,820,805,1635,1085,330,75,30,50,35,10,0,1200000,1134000,1190,1420
"4620109.00 (SR), Montréal (RMR) (4620109.00) (00000)",1910,200,1375,335,965,35,5,55,265,520,80,0,0,965,410,320,125,75,35,66500,1905,295,15.4,955,140,810,955,615,235,40,30,0,15,0,10,700000,770000,1100,1186
"4620110.00 (SR), Montréal (RMR) (4620110.00) (00000)",4210,585,3145,480,2115,0,0,0,200,1135,775,0,0,2115,930,655,290,165,75,60400,4210,840,20,2105,370,1735,2105,1175,500,145,115,10,10,15,135,576000,676000,950,1020
"4620111.00 (SR), Montréal (RMR) (4620111.00) (00000)",7145,1040,4785,1320,3080,70,70,0,1350,870,690,25,0,3080,1165,895,470,320,235,63200,6960,1215,17.4,3080,1190,1890,3080,1660,725,245,150,45,50,85,125,600000,642000,950,997
"4620112.01 (SR), Montréal (RMR) (4620112.01) (00000)",5715,1220,3815,685,2065,0,20,0,130,1580,325,5,0,2065,600,500,375,295,295,64000,5685,1025,18,2135,580,1555,2135,835,550,160,115,45,70,140,225,650000,648000,775,819
"4620112.02 (SR), Montréal (RMR) (4620112.02) (00000)",4190,565,2695,935,1990,0,0,5,45,1055,890,0,0,1995,950,445,265,195,135,42000,4180,1150,27.6,2040,240,1800,2040,745,810,175,155,55,55,35,15,700000,655000,740,784
"4620113.00 (SR), Montréal (RMR) (4620113.00) (00000)",4985,715,3590,685,2140,5,10,0,660,1445,15,0,0,2135,730,645,330,280,150,64500,4955,845,17.1,2095,490,1605,2095,1325,460,125,90,20,15,35,20,650000,684000,950,1070
"4620114.00 (SR), Montréal (RMR) (4620114.00) (00000)",2185,305,1530,350,925,155,110,0,50,410,195,0,0,925,300,290,135,135,70,78500,2185,310,14.2,935,315,615,935,620,245,15,25,15,0,0,15,1100000,1310000,1170,1400
"4620115.01 (SR), Montréal (RMR) (4620115.01) (00000)",2080,330,1405,345,900,60,120,0,320,395,0,0,0,895,295,300,125,110,65,83000,2080,330,15.9,910,425,485,910,630,175,30,40,0,15,0,10,1000000,1140000,1090,1276
"4620115.02 (SR), Montréal (RMR) (4620115.02) (00000)",5955,470,4290,1195,3495,5,5,0,15,680,2795,0,0,3495,1910,1050,310,165,55,50400,5910,1565,26.6,3495,285,3210,3495,1430,1565,230,140,35,20,45,25,332000,324000,1120,1199
