SRIDU,PopTotAge,Pop0_14,Pop15_64,Pop65plus,TotalLog,MaisonIndiv,MaisonJumulee,MaisonRangee,AppartDuplex,AppartMoins5E,Appart5EtPlus,AutreMaisonIndivAttenante,LogementMobile,TotalMenag,Menage1pers,Menage2pers,Menage3pers,Menage4pers,Menage5pPlus,RevMedMenage,PopTotMFRApI,PopTotMFR,PopTotMFRPct,TotalMenag2,Proprietaire,Locataire,TotalLog2,Log1960ouAv,Log1961_80,Log1981_90,Log1991_00,Log2001_05,Log2006_10,Log2011_15,Log2016_21,ValeurMedLog,ValeurMoyLog,LoyerMedian,LoyerMoyen
"4620396.00 (SR), Montréal (RMR) (4620396.00) (00000)",6555,920,3725,1910,2610,860,185,10,270,1275,10,10,0,2615,970,820,330,370,120,78500,5725,640,11.2,2615,1400,1215,2615,1625,650,90,175,25,20,10,10,650000,668000,850,892
"4620397.00 (SR), Montréal (RMR) (4620397.00) (00000)",3980,805,2550,620,1425,1115,20,20,190,85,0,0,0,1430,240,435,285,350,115,125000,3980,145,3.6,1420,1235,190,1420,1155,200,30,10,15,0,15,0,600000,618000,1140,1170
"4620400.00 (SR), Montréal (RMR) (4620400.00) (00000)",5410,1040,3415,950,2095,445,430,110,240,775,85,5,0,2095,525,650,350,395,175,127000,5415,520,9.7,2090,1455,640,2090,1265,290,35,120,65,65,120,130,1000000,1167000,1200,1380
"4620401.00 (SR), Montréal (RMR) (4620401.00) (00000)",3020,600,1820,600,1160,460,195,10,50,445,0,0,0,1160,340,295,165,250,115,130000,3020,290,9.6,1135,695,435,1135,945,115,35,10,0,0,15,15,1800000,2012000,1110,1220
"4620402.00 (SR), Montréal (RMR) (4620402.00) (00000)",1990,400,1270,320,850,135,85,0,0,265,365,0,0,855,290,240,140,135,50,82000,1990,330,16.6,875,460,415,875,300,130,45,20,20,15,205,140,850000,892000,1120,1330
"4620403.00 (SR), Montréal (RMR) (4620403.00) (00000)",5475,1185,3320,965,1860,650,385,55,130,340,300,0,0,1860,370,480,325,450,240,129000,5360,515,9.6,1860,1220,640,1860,1240,475,40,35,25,0,15,20,1500000,1600000,1120,1315
"4620404.00 (SR), Montréal (RMR) (4620404.00) (00000)",5060,1030,2940,1090,1765,810,265,35,75,260,320,0,5,1765,385,485,300,390,210,139000,4910,555,11.3,1765,1200,570,1765,1160,445,90,35,0,0,10,15,1510000,1656000,1140,1350
"4620410.01 (SR), Montréal (RMR) (4620410.01) (00000)",5530,1000,3505,1020,2105,405,250,0,415,680,345,10,0,2110,600,580,335,350,245,72500,5525,955,17.3,2105,980,1130,2105,915,660,255,185,35,40,20,0,552000,560000,870,914
"4620410.02 (SR), Montréal (RMR) (4620410.02) (00000)",6015,820,3320,1870,2705,10,0,0,5,35,2655,0,0,2705,1120,775,340,335,135,60800,5770,1065,18.5,2695,1345,1350,2695,135,1025,760,265,275,170,60,10,348000,378800,1000,1095
"4620410.03 (SR), Montréal (RMR) (4620410.03) (00000)",1755,335,1155,265,575,175,155,0,30,215,0,0,0,575,95,140,130,115,95,86000,1755,205,11.9,590,365,220,590,405,95,50,25,10,0,0,0,500000,526000,980,990
"4620412.00 (SR), Montréal (RMR) (4620412.00) (00000)",7055,1260,4755,1040,2720,375,360,0,320,1320,335,5,5,2720,745,770,475,450,285,78500,7060,925,13.1,2720,1550,1170,2720,1165,570,110,90,185,405,180,10,600000,594000,990,1078
"4620413.01 (SR), Montréal (RMR) (4620413.01) (00000)",3765,560,2125,1075,1370,485,340,60,5,150,325,0,0,1370,265,490,225,225,170,110000,3760,285,7.6,1395,1290,105,1395,425,160,380,245,175,15,0,0,650000,711000,1250,1140
"4620413.02 (SR), Montréal (RMR) (4620413.02) (00000)",4050,860,2635,560,1570,135,95,35,10,865,425,0,0,1565,485,420,240,215,205,69500,4045,655,16.2,1545,470,1075,1545,440,565,315,115,25,35,35,15,628000,640000,940,976
"4620415.03 (SR), Montréal (RMR) (4620415.03) (00000)",4010,625,2490,890,1795,0,0,0,5,570,1220,0,0,1795,685,525,255,210,125,61200,4010,715,17.9,1795,635,1160,1795,180,970,450,160,30,0,10,0,400000,486000,990,1064
"4620415.04 (SR), Montréal (RMR) (4620415.04) (00000)",5455,890,3445,1120,2305,5,0,85,140,1345,730,0,0,2305,865,640,320,270,210,61600,5330,965,18.1,2260,600,1655,2260,285,1120,385,180,120,70,40,50,500000,554000,1020,1081
"4620415.07 (SR), Montréal (RMR) (4620415.07) (00000)",7565,1810,4920,830,2810,85,65,1340,10,985,325,0,0,2815,715,780,495,630,200,132000,7310,500,6.8,2865,2325,540,2865,10,0,10,80,550,620,790,795,750000,802000,1760,1730
"4620415.08 (SR), Montréal (RMR) (4620415.08) (00000)",2685,520,1875,295,1070,5,30,405,0,530,95,0,0,1070,285,310,210,195,70,102000,2685,290,10.7,1065,910,155,1065,10,10,0,505,225,95,145,75,576000,591000,1500,1600
"4620415.09 (SR), Montréal (RMR) (4620415.09) (00000)",3035,700,2085,250,1080,100,10,575,5,305,45,0,35,1075,225,250,210,305,90,131000,3030,300,9.9,1040,820,225,1040,10,55,40,350,205,320,50,10,800000,818000,1380,1440
"4620415.10 (SR), Montréal (RMR) (4620415.10) (00000)",5295,1065,3550,680,1935,765,25,170,0,530,440,0,0,1935,500,465,320,425,225,120000,5295,430,8.1,1975,1590,380,1975,0,0,0,300,475,585,405,200,780000,1052000,1440,1520
"4620416.01 (SR), Montréal (RMR) (4620416.01) (00000)",4000,650,2340,1015,1400,510,140,510,15,225,0,0,0,1400,230,450,250,295,170,101000,4000,285,7.2,1400,1190,210,1400,325,760,245,30,10,0,10,15,552000,629000,1110,1060
"4620416.02 (SR), Montréal (RMR) (4620416.02) (00000)",3325,790,2025,515,1145,50,145,15,20,895,10,0,0,1145,265,280,185,210,200,78500,3330,425,12.8,1140,480,660,1140,320,595,165,30,10,10,10,0,600000,656000,1030,1138
"4620417.01 (SR), Montréal (RMR) (4620417.01) (00000)",5045,955,3320,770,1915,425,10,0,105,690,685,0,0,1915,580,525,315,260,245,69500,5000,835,16.6,1945,1035,910,1945,665,325,310,90,40,180,190,130,352000,403000,940,1022
"4620417.02 (SR), Montréal (RMR) (4620417.02) (00000)",2745,605,1915,230,890,0,45,0,95,705,50,0,0,890,160,200,195,165,170,68500,2750,525,19.1,870,115,750,870,310,295,105,90,25,10,15,15,460000,450000,900,922
"4620418.00 (SR), Montréal (RMR) (4620418.00) (00000)",5705,875,3875,950,2550,155,245,10,590,1385,160,15,0,2550,975,745,345,315,170,65000,5700,970,17,2550,930,1620,2550,1285,505,195,145,110,180,120,15,600000,621000,890,918
"4620419.00 (SR), Montréal (RMR) (4620419.00) (00000)",4785,1160,3235,385,1690,30,35,0,325,1290,0,0,0,1685,395,435,320,280,255,62000,4785,1040,21.7,1685,300,1385,1685,690,550,160,190,40,10,35,10,500000,492000,890,925
"4620420.00 (SR), Montréal (RMR) (4620420.00) (00000)",5115,825,2960,1335,1740,440,300,160,300,470,70,0,0,1745,460,490,290,290,220,82000,4675,595,12.7,1745,1075,670,1745,1065,390,80,125,50,30,0,0,600000,603000,880,966
"4620421.03 (SR), Montréal (RMR) (4620421.03) (00000)",2945,545,1900,505,1130,0,5,95,185,125,715,0,0,1135,340,270,200,195,130,67000,2950,590,20,1130,315,815,1130,165,465,90,40,30,295,45,0,552000,560000,1120,1188
"4620421.04 (SR), Montréal (RMR) (4620421.04) (00000)",4410,955,2945,510,1715,5,0,0,350,1115,240,5,0,1715,580,390,260,255,225,54800,4405,1130,25.7,1715,230,1485,1715,350,1015,155,120,40,10,0,25,695000,650000,840,914
"4620421.05 (SR), Montréal (RMR) (4620421.05) (00000)",2340,525,1535,280,920,0,0,0,30,130,760,0,0,925,320,210,130,140,120,52400,2340,635,27.3,915,20,900,915,150,440,170,120,20,10,0,10,,320000,1020,1066
"4620421.06 (SR), Montréal (RMR) (4620421.06) (00000)",5460,1400,3515,550,2015,0,0,0,0,0,2015,0,0,2020,650,430,310,335,290,58400,5355,1320,24.6,2020,150,1870,2020,255,855,320,255,70,140,105,20,348000,355000,1000,1025
"4620430.00 (SR), Montréal (RMR) (4620430.00) (00000)",7235,900,4910,1425,3700,890,90,50,70,1960,635,5,0,3705,1800,1095,380,305,125,65500,7010,975,14,3705,1795,1905,3705,1065,1050,255,165,195,210,470,290,452000,558500,860,922
"4620431.00 (SR), Montréal (RMR) (4620431.00) (00000)",5440,735,3405,1295,2385,980,65,185,100,820,230,0,0,2390,845,760,325,295,165,78500,5405,525,9.7,2385,1180,1210,2385,845,890,350,200,55,20,30,0,600000,678000,960,1082
"4620432.00 (SR), Montréal (RMR) (4620432.00) (00000)",3135,490,1965,680,1235,1110,40,0,25,55,0,0,5,1240,305,405,205,240,85,107000,3125,180,5.7,1255,1135,115,1255,1010,110,40,10,35,10,20,20,548000,660000,830,1140
"4620433.00 (SR), Montréal (RMR) (4620433.00) (00000)",3490,530,2320,640,1390,990,105,5,25,265,0,0,0,1390,365,460,230,230,105,89000,3475,235,6.7,1375,1090,285,1375,880,300,80,20,40,25,15,20,452000,473000,870,990
"4620450.00 (SR), Montréal (RMR) (4620450.00) (00000)",7140,855,3820,2470,3275,1700,70,115,80,440,860,5,0,3270,1205,1145,385,390,150,91000,7000,595,8.5,3270,2165,1110,3270,1595,790,425,155,115,95,15,85,695000,778000,1330,1408
"4620451.00 (SR), Montréal (RMR) (4620451.00) (00000)",6985,1100,4310,1580,2965,1650,110,380,0,160,670,0,0,2970,975,905,445,445,195,88000,6965,550,7.9,2965,2165,805,2965,1465,515,350,150,175,80,15,215,500000,548000,1240,1196
"4620452.00 (SR), Montréal (RMR) (4620452.00) (00000)",8885,1215,4510,3165,3230,1280,50,500,5,400,990,0,5,3230,1105,995,485,485,160,83000,7335,740,10.1,3230,1730,1500,3230,675,1365,400,85,90,110,75,420,600000,617000,1390,1428
"4620453.01 (SR), Montréal (RMR) (4620453.01) (00000)",5540,980,3550,1015,2080,1425,15,200,30,325,90,0,0,2080,420,705,365,420,170,105000,5540,285,5.2,2065,1700,365,2065,1045,385,240,85,0,55,85,160,572000,602500,1330,1252
"4620453.02 (SR), Montréal (RMR) (4620453.02) (00000)",4930,740,3110,1090,1765,585,665,150,0,195,165,0,0,1760,370,535,355,350,150,102000,4715,395,8.4,1775,1465,315,1775,45,360,485,405,105,0,140,235,528000,566000,1800,1760
"4620460.00 (SR), Montréal (RMR) (4620460.00) (00000)",5370,975,3245,1150,1880,1805,20,30,0,15,0,0,0,1875,275,640,330,435,195,147000,5335,335,6.2,1870,1795,70,1870,830,790,80,40,10,30,25,65,800000,1017000,2400,2400
"4620461.00 (SR), Montréal (RMR) (4620461.00) (00000)",2925,495,1780,650,1035,995,0,0,5,35,0,0,0,1040,195,345,170,230,100,138000,2835,170,6,1045,970,75,1045,595,280,35,25,30,50,10,10,800000,1008000,1980,1750
"4620462.01 (SR), Montréal (RMR) (4620462.01) (00000)",5145,950,3195,1005,1915,1370,60,250,0,235,0,0,0,1920,405,605,350,380,180,118000,5130,345,6.8,1920,1615,305,1920,515,1040,225,75,25,15,0,25,700000,695000,1420,1430
"4620462.02 (SR), Montréal (RMR) (4620462.02) (00000)",5835,1055,3815,965,1920,1620,5,240,0,50,0,0,0,1920,225,585,365,515,225,154000,5740,350,6.1,1920,1670,250,1920,95,1205,315,150,55,50,35,20,900000,993000,1350,1380
"4620470.01 (SR), Montréal (RMR) (4620470.01) (00000)",7025,1110,4280,1635,2550,1740,55,490,0,35,220,0,0,2550,510,840,465,490,235,113000,6855,475,7,2550,2235,315,2550,65,1515,530,230,115,85,10,0,695000,692000,1140,1340
"4620470.03 (SR), Montréal (RMR) (4620470.03) (00000)",4905,775,3485,650,1580,1515,15,55,0,0,0,0,0,1580,115,485,350,450,185,155000,4905,325,6.6,1580,1535,40,1580,0,240,665,410,215,25,20,0,850000,887000,2480,2500
"4620470.04 (SR), Montréal (RMR) (4620470.04) (00000)",3490,575,2155,755,1215,1215,0,0,0,0,0,0,0,1215,145,415,260,280,115,116000,3490,215,6.2,1235,1170,65,1235,15,710,415,20,60,0,0,0,695000,694000,1960,1750
"4620470.05 (SR), Montréal (RMR) (4620470.05) (00000)",4000,610,2585,805,1315,1305,0,10,0,0,0,0,0,1320,105,455,265,325,165,141000,3990,320,7.9,1300,1245,55,1300,15,410,475,300,25,60,10,0,850000,888000,2380,2500
"4620480.00 (SR), Montréal (RMR) (4620480.00) (00000)",3765,505,2275,985,1325,1230,5,40,5,45,5,0,0,1325,200,505,225,265,135,145000,3660,230,6.2,1325,1270,55,1325,660,315,175,90,15,0,10,50,850000,980000,2160,2300
"4620490.00 (SR), Montréal (RMR) (4620490.00) (00000)",2530,255,1750,535,1360,195,205,130,95,620,70,45,0,1360,645,445,145,85,40,58000,2520,475,18.8,1365,475,895,1365,740,290,95,100,125,0,10,0,500000,532000,910,942
"4620491.00 (SR), Montréal (RMR) (4620491.00) (00000)",2495,295,1615,585,750,705,20,15,0,10,0,0,0,750,105,235,165,195,50,144000,2115,80,4,745,680,55,745,65,80,140,395,10,0,10,40,604000,637000,970,1360
"4620500.00 (SR), Montréal (RMR) (4620500.00) (00000)",950,130,590,235,355,315,20,0,5,5,0,0,0,350,60,135,60,55,45,147000,950,65,6.8,355,290,65,355,210,85,20,25,0,0,0,10,850000,1100000,940,1200
"4620511.01 (SR), Montréal (RMR) (4620511.01) (00000)",3325,625,2130,570,1190,875,100,10,20,105,75,0,0,1185,240,380,210,220,135,99000,3260,225,7,1185,985,205,1185,415,425,85,45,120,30,55,10,500000,567000,840,1010
"4620511.02 (SR), Montréal (RMR) (4620511.02) (00000)",6670,1565,4300,805,2435,210,80,495,5,1645,0,0,0,2435,675,625,390,375,365,72500,6670,1140,17.1,2435,1055,1385,2435,385,905,560,380,75,85,35,20,400000,398000,830,841
"4620512.02 (SR), Montréal (RMR) (4620512.02) (00000)",4570,660,2770,1140,1875,1035,50,10,10,120,650,0,0,1870,575,600,270,280,150,82000,4550,500,11,1850,1330,520,1850,280,715,330,240,130,20,75,55,448000,484800,1220,1310
"4620512.03 (SR), Montréal (RMR) (4620512.03) (00000)",2550,410,1540,605,1280,140,40,50,0,705,345,0,0,1285,620,345,145,105,65,58000,2550,415,16.4,1290,750,535,1290,60,405,265,65,145,160,150,45,300000,349000,1020,1052
"4620512.04 (SR), Montréal (RMR) (4620512.04) (00000)",6580,1175,4285,1115,2405,1375,105,125,50,750,0,5,0,2405,600,680,425,375,325,82000,6565,650,9.9,2425,1675,745,2425,335,1665,215,80,85,35,10,0,400000,435200,900,946
"4620513.01 (SR), Montréal (RMR) (4620513.01) (00000)",5000,880,3275,845,1695,685,320,200,10,475,0,0,0,1690,345,440,300,340,265,88000,5000,425,8.6,1720,1125,590,1720,175,880,265,160,155,45,10,20,448000,472000,850,928
"4620513.02 (SR), Montréal (RMR) (4620513.02) (00000)",4585,770,2885,930,1860,665,50,60,5,915,170,0,0,1860,635,515,265,275,170,63200,4510,800,17.7,1835,910,920,1835,175,1035,295,170,40,45,70,10,500000,483000,820,820
"4620514.01 (SR), Montréal (RMR) (4620514.01) (00000)",6895,1130,4455,1315,2670,1290,165,70,10,1065,60,0,0,2665,705,800,475,450,240,85000,6845,670,9.8,2670,1850,820,2670,510,945,370,225,275,200,85,55,424000,449200,1070,1080
"4620514.02 (SR), Montréal (RMR) (4620514.02) (00000)",6130,1025,4140,965,2160,1405,65,145,5,540,5,0,0,2165,380,680,390,475,240,94000,6110,445,7.3,2165,1630,530,2165,195,905,405,450,155,40,0,10,492000,497200,930,1040
"4620515.01 (SR), Montréal (RMR) (4620515.01) (00000)",6415,1065,4480,870,2210,1310,155,155,25,555,0,0,0,2210,455,580,425,485,255,111000,6220,420,6.8,2200,1635,565,2200,145,165,310,440,400,245,230,270,624000,680000,1310,1290
"4620515.02 (SR), Montréal (RMR) (4620515.02) (00000)",4375,705,3185,490,1520,760,25,235,0,495,0,0,0,1525,320,365,295,385,155,103000,4310,330,7.6,1525,1035,495,1525,15,165,565,475,265,35,15,0,548000,575000,920,1024
"4620515.03 (SR), Montréal (RMR) (4620515.03) (00000)",3450,590,2300,555,1245,920,20,90,10,200,0,5,0,1245,235,385,250,235,145,92000,3450,380,11,1265,1010,255,1265,170,385,560,105,10,15,0,25,452000,469000,970,1130
"4620515.04 (SR), Montréal (RMR) (4620515.04) (00000)",3710,665,2510,535,1340,735,105,120,25,350,0,5,0,1340,275,400,245,275,145,87000,3705,355,9.5,1320,895,425,1320,110,525,390,195,40,30,20,10,476000,492000,920,976
"4620520.02 (SR), Montréal (RMR) (4620520.02) (00000)",7110,1165,4575,1370,2510,935,85,750,30,615,90,0,0,2505,535,705,470,440,360,87000,7090,650,9.1,2505,1875,635,2505,175,1875,130,150,20,60,55,50,428000,447200,1000,1076
"4620520.03 (SR), Montréal (RMR) (4620520.03) (00000)",3760,610,2420,735,1335,620,5,275,5,435,0,0,0,1335,270,405,250,230,180,79500,3765,455,12.1,1365,885,485,1365,70,740,430,60,10,20,20,20,556000,545000,830,916
"4620520.04 (SR), Montréal (RMR) (4620520.04) (00000)",4640,840,3010,785,1725,410,25,695,0,595,0,0,0,1720,465,470,265,305,220,75000,4635,575,12.4,1690,870,820,1690,165,1230,200,65,15,0,10,0,400000,433000,950,1044
"4620521.01 (SR), Montréal (RMR) (4620521.01) (00000)",4855,770,3080,1010,1955,325,110,935,0,195,380,0,0,1960,555,625,325,280,170,79500,4860,475,9.8,1970,1260,710,1970,115,1295,110,95,40,140,120,60,400000,455000,1240,1288
"4620521.04 (SR), Montréal (RMR) (4620521.04) (00000)",4765,870,2910,990,1725,1345,0,20,0,245,110,0,0,1720,330,570,285,345,195,109000,4765,355,7.4,1715,1330,385,1715,145,1315,115,55,25,55,0,0,600000,634000,1000,1064
"4620521.05 (SR), Montréal (RMR) (4620521.05) (00000)",4585,720,3035,830,1465,1150,0,20,5,75,210,0,0,1460,220,400,255,350,245,145000,4495,290,6.5,1450,1275,175,1450,15,145,375,470,265,55,125,0,900000,920000,830,1070
"4620521.06 (SR), Montréal (RMR) (4620521.06) (00000)",5145,845,3040,1265,1930,1150,15,100,0,445,215,0,0,1925,470,620,260,350,235,110000,5150,375,7.3,1930,1645,290,1930,30,650,375,140,365,230,45,95,650000,707000,1210,1440
"4620521.07 (SR), Montréal (RMR) (4620521.07) (00000)",4070,615,2420,1040,1260,1125,80,60,0,0,5,0,0,1265,140,420,235,290,185,118000,3820,225,5.8,1260,1160,100,1260,30,590,450,160,25,0,0,0,695000,742000,1420,1400
"4620522.01 (SR), Montréal (RMR) (4620522.01) (00000)",3465,505,2155,805,1320,1110,0,0,0,40,170,0,0,1320,275,460,240,240,110,101000,3465,200,5.8,1350,1080,265,1350,60,1215,30,35,10,0,0,0,580000,574000,1040,1100
"4620522.02 (SR), Montréal (RMR) (4620522.02) (00000)",3505,480,2095,935,1360,885,20,35,0,160,255,0,0,1360,355,450,230,220,105,85000,3395,285,8.5,1335,905,425,1335,70,995,125,70,55,15,0,0,580000,567000,1050,1088
"4620523.00 (SR), Montréal (RMR) (4620523.00) (00000)",2490,470,1505,515,810,805,5,0,0,0,0,0,0,810,90,255,155,190,125,118000,2485,95,3.9,815,795,20,815,110,685,0,0,0,0,0,0,576000,555000,,1400
"4620530.00 (SR), Montréal (RMR) (4620530.00) (00000)",6130,1050,3940,1145,2175,1625,35,135,110,270,0,5,0,2180,430,665,390,425,265,98000,6110,430,7.1,2200,1835,360,2200,1205,655,55,40,100,45,65,30,480000,491600,1060,1048
"4620540.00 (SR), Montréal (RMR) (4620540.00) (00000)",3965,555,2350,1060,1675,285,5,15,100,1130,65,15,55,1670,755,455,200,170,95,55600,3440,655,19,1645,580,1060,1645,350,595,290,160,75,90,40,45,348000,420000,810,886
"4620550.02 (SR), Montréal (RMR) (4620550.02) (00000)",3330,580,2165,580,1270,875,115,0,45,155,0,0,75,1270,300,410,215,225,120,102000,3315,225,6.7,1260,1055,205,1260,225,460,165,170,30,50,130,35,500000,646000,820,970
"4620550.03 (SR), Montréal (RMR) (4620550.03) (00000)",6780,1150,4500,1125,2275,2025,40,55,25,125,0,0,0,2270,355,705,415,520,275,129000,6575,255,3.9,2305,2095,205,2305,135,475,735,505,150,120,65,120,600000,647000,870,1030
"4620550.04 (SR), Montréal (RMR) (4620550.04) (00000)",4805,765,3145,890,1805,1155,160,125,45,310,0,0,0,1805,360,625,330,320,175,105000,4805,265,5.5,1810,1495,315,1810,135,665,625,260,85,30,15,0,500000,536500,890,890
"4620570.00 (SR), Montréal (RMR) (4620570.00) (00000)",4395,705,3005,675,2020,430,25,20,305,995,235,10,0,2015,780,690,280,170,105,64500,4255,675,15.9,2020,755,1260,2020,940,340,190,100,95,50,75,235,348000,363000,830,880
"4620580.01 (SR), Montréal (RMR) (4620580.01) (00000)",4850,705,3255,890,2330,360,175,225,120,1330,125,0,0,2325,925,780,305,220,105,69000,4815,640,13.3,2325,1215,1115,2325,465,630,225,425,110,55,255,160,320000,337000,755,822
"4620580.02 (SR), Montréal (RMR) (4620580.02) (00000)",3235,510,2360,360,1610,95,65,250,30,1165,5,0,0,1610,655,565,205,115,65,75500,3235,180,5.6,1615,1395,230,1615,15,50,90,645,325,245,175,70,240000,251800,980,910
"4620580.03 (SR), Montréal (RMR) (4620580.03) (00000)",3830,590,2460,780,1595,725,85,195,85,500,0,0,0,1595,430,630,240,205,90,85000,3725,235,6.2,1585,1100,485,1585,230,365,755,115,25,40,15,50,352000,388000,850,892
"4620581.01 (SR), Montréal (RMR) (4620581.01) (00000)",5825,910,3795,1115,2050,515,185,650,130,565,0,0,0,2050,505,710,355,290,185,82000,5170,445,8.7,2030,1400,630,2030,285,1020,500,120,20,35,25,25,300000,328400,745,792
"4620581.02 (SR), Montréal (RMR) (4620581.02) (00000)",3490,610,2320,560,1540,335,215,130,40,720,95,0,0,1540,520,520,225,165,110,67000,3490,510,14.6,1560,775,785,1560,155,595,500,120,55,50,80,0,320000,316500,725,734
"4620582.01 (SR), Montréal (RMR) (4620582.01) (00000)",6340,870,3950,1520,3060,730,120,40,40,2045,80,0,5,3055,1220,1100,365,220,145,62800,6210,740,12,3060,1520,1535,3060,425,670,1550,185,85,90,30,30,324000,328400,780,774
"4620582.02 (SR), Montréal (RMR) (4620582.02) (00000)",5915,1005,3785,1130,2655,705,180,255,50,1450,10,5,5,2660,955,880,365,300,155,67000,5830,665,11.4,2675,1405,1270,2675,455,1685,270,120,45,80,15,0,320000,331600,745,740
"4620583.00 (SR), Montréal (RMR) (4620583.00) (00000)",3210,570,2050,590,1320,370,145,160,170,425,45,5,0,1320,395,455,190,155,115,75000,3155,295,9.3,1305,775,525,1305,385,725,75,70,10,25,10,0,348000,360000,775,832
"4620584.00 (SR), Montréal (RMR) (4620584.00) (00000)",7065,1070,4625,1370,3330,435,270,135,540,1755,150,40,0,3330,1380,1060,415,285,190,62000,6945,1050,15.1,3325,1350,1975,3325,1265,1100,585,215,30,10,55,60,348000,364800,760,770
"4620585.01 (SR), Montréal (RMR) (4620585.01) (00000)",2280,425,1565,290,900,245,55,315,55,230,0,0,0,905,205,315,180,140,65,99000,2280,120,5.1,910,705,205,910,75,55,160,340,75,50,10,150,348000,380000,1120,1050
"4620585.02 (SR), Montréal (RMR) (4620585.02) (00000)",3820,465,2140,1220,1760,445,190,55,20,1055,0,0,0,1755,725,595,200,150,90,59200,3590,495,13.9,1760,795,965,1760,165,640,505,250,70,95,10,10,348000,368000,930,920
"4620590.01 (SR), Montréal (RMR) (4620590.01) (00000)",5525,1135,3470,920,2250,190,170,290,65,1445,75,5,0,2245,725,650,365,300,205,70500,5440,805,14.8,2270,995,1275,2270,305,970,535,320,55,45,15,20,452000,462000,850,860
"4620590.02 (SR), Montréal (RMR) (4620590.02) (00000)",3455,775,2305,375,1395,125,60,10,190,995,0,10,0,1395,445,380,220,225,130,63600,3445,560,16.3,1375,360,1010,1375,380,670,130,85,20,10,50,30,400000,414000,840,890
"4620591.01 (SR), Montréal (RMR) (4620591.01) (00000)",2705,550,1720,435,1040,285,10,0,110,635,0,0,0,1040,260,335,180,155,110,87000,2690,190,7.2,1100,590,505,1100,480,505,55,30,15,0,0,0,556000,558000,940,884
"4620591.02 (SR), Montréal (RMR) (4620591.02) (00000)",4115,785,2580,745,1660,495,0,0,360,800,0,0,0,1660,525,495,240,260,145,79000,4030,470,11.7,1605,730,875,1605,550,855,85,100,0,0,0,0,600000,615000,840,876
"4620592.00 (SR), Montréal (RMR) (4620592.00) (00000)",7570,1645,4705,1220,3100,210,80,190,690,1730,195,0,0,3095,1100,755,440,475,315,68500,7570,1020,13.5,3095,1025,2075,3095,570,2105,225,125,15,15,20,25,520000,555000,810,850
"4620593.01 (SR), Montréal (RMR) (4620593.01) (00000)",4865,245,1770,2845,2585,0,0,0,50,440,2090,0,0,2585,1355,965,160,80,30,56800,4230,565,13.4,2565,1625,940,2565,55,345,415,655,760,270,35,35,300000,325200,1100,1122
"4620593.02 (SR), Montréal (RMR) (4620593.02) (00000)",4575,925,2805,845,1980,0,105,65,15,1460,325,0,0,1980,760,535,235,260,185,65000,4575,620,13.5,2005,560,1440,2005,270,1320,210,155,0,10,10,20,552000,540000,890,901
"4620594.01 (SR), Montréal (RMR) (4620594.01) (00000)",2850,510,1780,565,1335,0,35,0,5,1295,0,0,0,1335,565,390,165,130,95,59200,2845,470,16.5,1335,235,1110,1335,190,800,265,70,0,0,0,0,400000,460000,765,752
"4620594.02 (SR), Montréal (RMR) (4620594.02) (00000)",7590,1165,4590,1835,3395,175,335,320,125,1835,605,0,0,3390,1270,1090,420,390,225,72500,7475,810,10.8,3395,2020,1375,3395,165,1370,1055,400,315,65,25,0,400000,437200,890,907
"4620600.01 (SR), Montréal (RMR) (4620600.01) (00000)",4025,885,2405,735,1585,20,105,0,80,1380,0,5,0,1585,490,435,230,250,175,66500,4025,575,14.4,1645,460,1185,1645,220,1170,185,45,0,0,10,0,800000,776000,880,902
"4620600.02 (SR), Montréal (RMR) (4620600.02) (00000)",4115,905,2595,615,1715,10,15,0,290,1375,0,25,0,1715,660,410,225,210,205,55200,4120,960,23.3,1655,355,1295,1655,245,1115,160,75,45,10,0,15,700000,668000,820,819
"4620600.03 (SR), Montréal (RMR) (4620600.03) (00000)",7095,1130,3610,2350,2645,20,5,0,385,1550,675,0,0,2640,965,780,360,320,210,58800,6040,1105,18.3,2640,970,1670,2640,270,1360,235,220,100,205,195,60,460000,526000,890,956
"4620601.01 (SR), Montréal (RMR) (4620601.01) (00000)",3375,660,2075,640,1325,5,0,0,470,835,10,0,0,1325,410,345,205,215,150,68500,3375,445,13.2,1305,495,815,1305,310,870,60,55,0,0,0,0,700000,696000,900,926
"4620601.02 (SR), Montréal (RMR) (4620601.02) (00000)",4830,905,2850,1065,1935,5,5,0,285,1025,620,0,0,1940,745,550,280,220,150,61200,4365,835,19.2,1960,740,1220,1960,325,865,160,70,40,415,65,15,348000,472000,830,898
"4620602.01 (SR), Montréal (RMR) (4620602.01) (00000)",3780,620,2170,990,1620,0,0,0,595,590,420,10,0,1625,555,520,240,170,140,63200,3765,565,15.1,1615,475,1145,1615,210,805,195,145,80,105,75,10,650000,630000,970,1020
"4620602.02 (SR), Montréal (RMR) (4620602.02) (00000)",2795,520,1800,480,1170,5,15,0,165,975,0,0,0,1165,405,335,160,160,110,60000,2795,495,17.8,1170,265,900,1170,215,780,110,40,15,0,0,10,800000,820000,840,914
"4620603.01 (SR), Montréal (RMR) (4620603.01) (00000)",3600,680,2215,700,1470,0,5,0,5,1445,0,5,0,1470,485,425,215,210,135,62400,3555,545,15.2,1465,355,1110,1465,180,1070,105,85,25,0,0,0,800000,760000,840,854
